run_id,dataset,channel,selection,k,factor_index,factor_name,accuracy_mean,accuracy_std,repeats
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,unranked_first,32,5,position_y,0.1538,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,0,color,1.0,0.0,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,1,shape,0.45786,0.004185448577868302,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,2,scale,0.387378,0.005637385668172544,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,3,orientation,0.043011999999999995,0.002769504933333316,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,4,position_x,0.15735200000000002,0.005995090247086116,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random,32,5,position_y,0.152524,0.006047808184655316,100
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,0,color,1.0,0.0,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,1,shape,0.45575,0.0041064134690685225,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,2,scale,0.38489,0.006275591815245707,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,3,orientation,0.04291,0.0028339854770641523,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,4,position_x,0.15806,0.0064072656126915,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,random_rotation_first,32,5,position_y,0.15206999999999998,0.0038717736993459945,20
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,64,0,color,1.0,0.0,1
20260809-064913_postfix-e7-dsprites-default-seed1-probe,dsprites,default,eigen_top,64,1,shape,0.4668,0.0,1
